Frequency,Impedance,Phase,Real,Imaginary,Magnitude
39750,2647.94879,-51.51856771,-758,-1647,1813.056259
39920,2645.863532,-51.63691093,-757,-1650,1815.364702
40090,2640.074342,-51.62225935,-763,-1660,1826.956212
40260,2623.027211,-51.66356658,-762,-1667,1832.902889
40430,2630.981836,-51.85945566,-761,-1668,1833.39712
40600,2620.25576,-51.97041931,-762,-1674,1839.271595
40770,2609.624322,-52.01835127,-765,-1679,1845.06531
40940,2600.66726,-52.24981712,-766,-1680,1846.389991
41110,2593.515292,-52.20037238,-767,-1688,1854.085489
41280,2594.567969,-52.31920531,-767,-1693,1858.638749
41450,2577.614585,-52.50334593,-769,-1700,1865.840561
41620,2583.333055,-52.49690145,-767,-1706,1870.487904
41790,2573.940026,-52.64946091,-767,-1707,1871.400011
41960,2572.342165,-53.10568541,-769,-1705,1870.397284
42130,2572.372271,-53.19918654,-771,-1708,1873.954375
42300,2549.5696,-52.96484017,-774,-1719,1885.215372
42470,2535.556753,-52.84358954,-777,-1727,1893.741799
42640,2533.508195,-53.05948887,-779,-1729,1896.386564
42810,2526.455472,-53.11845306,-779,-1735,1901.858565
42980,2526.996088,-53.11710203,-778,-1739,1905.099735
43150,2516.843555,-53.35361486,-780,-1744,1910.480568
43320,2516.955572,-53.41905027,-780,-1749,1915.045952
43490,2507.710132,-53.46852061,-780,-1754,1919.613503
43660,2508.087821,-53.63981684,-782,-1759,1924.994805
43830,2503.859849,-53.56438178,-781,-1763,1928.245316
44000,2488.04628,-53.95703715,-782,-1767,1932.307688
44170,2481.440924,-53.85728827,-785,-1771,1937.179909
44340,2469.548207,-53.89980438,-784,-1777,1942.262856
44510,2465.341304,-54.00944603,-788,-1783,1949.367333
44680,2462.886274,-54.14557353,-789,-1785,1951.600881
44850,2457.677927,-54.0713016,-790,-1791,1957.49355
45020,2443.120233,-54.25330591,-789,-1801,1966.245661
45190,2440.56129,-54.30747467,-792,-1805,1971.113645
45360,2435.724242,-54.36958209,-791,-1807,1972.544043
