Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
22280,21920.21956,-76.80609881,-1969,-1052,2232.412372,5003.229546,3.34731E-10
22470,21744.35877,-76.68434785,-1980,-1070,2250.622136,5008.06467,3.34753E-10
22660,21546.4917,-76.58583981,-1994,-1087,2271.036107,4998.534198,3.35131E-10
22850,21361.18759,-76.48946112,-2007,-1105,2291.085769,4990.490699,3.35363E-10
23040,21204.49836,-76.39849992,-2017,-1120,2307.09536,4986.610147,3.35183E-10
23230,21067.09751,-76.30289482,-2026,-1136,2322.750955,4988.458194,3.34745E-10
23420,20876.78524,-76.15974138,-2039,-1156,2343.897822,4994.056084,3.35262E-10
23610,20719.28515,-76.05307858,-2049,-1174,2361.498888,4993.822481,3.35246E-10
23800,20557.82077,-75.9550258,-2061,-1191,2380.378541,4989.04292,3.35325E-10
23990,20424.54037,-75.77914645,-2067,-1211,2395.623092,5017.496915,3.35099E-10
24180,20287.62887,-75.76127944,-2079,-1224,2412.554041,4989.995558,3.34736E-10
24370,20113.78869,-75.65908024,-2091,-1243,2432.556269,4982.004548,3.35149E-10
24560,19962.12205,-75.49099028,-2100,-1264,2451.060179,5001.15518,3.35336E-10
24750,19836.32443,-75.39958191,-2108,-1280,2466.184097,5000.269641,3.3501E-10
24940,19688.37611,-75.33267166,-2120,-1297,2485.278455,4985.22166,3.35059E-10
25130,19540.00762,-75.21246451,-2130,-1316,2503.74839,4987.302101,3.35235E-10
25320,19414.92387,-75.12719587,-2139,-1332,2519.830351,4983.307461,3.34995E-10
25510,19246.90441,-74.99731147,-2151,-1354,2541.676022,4982.337777,3.35605E-10
25700,19118.75675,-74.82311865,-2159,-1375,2559.669119,5005.286244,3.35632E-10
25890,19018.47199,-74.71170421,-2164,-1392,2573.044889,5014.714763,3.35103E-10
26080,18914.89709,-74.60293079,-2169,-1410,2587.017781,5022.033832,3.34658E-10
26270,18776.18497,-74.60302017,-2181,-1424,2604.71438,4985.176582,3.34692E-10
26460,18656.16698,-74.48993676,-2189,-1443,2621.8257,4988.801227,3.34609E-10
26650,18503.10918,-74.38028157,-2201,-1463,2642.871544,4981.985802,3.3515E-10
26840,18400.73918,-74.32778408,-2208,-1478,2657.01863,4970.657589,3.34714E-10
27030,18283.64262,-74.24062494,-2217,-1496,2674.52893,4965.799463,3.34633E-10
27220,18146.30643,-74.07102459,-2227,-1519,2695.716973,4980.173082,3.35094E-10
27410,18012.68117,-73.95270061,-2236,-1540,2715.013075,4979.260088,3.35438E-10
27600,17923.1317,-73.83415913,-2240,-1557,2727.975256,4990.132153,3.34994E-10
27790,17800.9467,-73.75883367,-2250,-1577,2747.622427,4978.586456,3.35115E-10
27980,17704.36688,-73.66124367,-2255,-1594,2761.496152,4980.519573,3.34822E-10
