Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
24180,4994.969492,-8.91E-02,-2082,-1225,2415.646704,4.99E+03,8.48E-07
24370,5000,0,-2088,-1242,2429.466608,5.00E+03,#DIV/0!
24560,5008.762387,6.03E-02,-2095,-1261,2445.229233,5.01E+03,-1.23E-06
24750,5004.21227,-7.95E-02,-2107,-1277,2463.773123,5.00E+03,9.26E-07
24940,5000.664104,3.17E-02,-2118,-1299,2484.617677,5.00E+03,-2.31E-06
25130,5000.647506,3.15E-02,-2126,-1317,2500.872848,5.00E+03,-2.30E-06
25320,5001.052357,-1.93E-02,-2135,-1333,2516.965236,5.00E+03,3.73E-06
25510,4998.332541,-1.20E-02,-2147,-1352,2537.225453,5.00E+03,5.94E-06
25700,5004.802883,-4.47E-02,-2156,-1370,2554.454149,5.00E+03,1.59E-06
25890,5000,0,-2163,-1392,2572.203919,5.00E+03,#DIV/0!
26080,5005.3572,-1.30E-02,-2165,-1408,2582.574103,5.01E+03,5.38E-06
26270,5002.042792,-0.116161792,-2180,-1423,2603.330367,5.00E+03,5.97E-07
26460,5001.559037,-6.69E-02,-2186,-1439,2617.119982,5.00E+03,1.03E-06
26650,5002.095414,-3.62E-02,-2199,-1458,2638.43988,5.00E+03,1.89E-06
26840,4996.863358,5.37E-02,-2210,-1481,2660.349789,5.00E+03,-1.27E-06
27030,4998.488674,-8.93E-02,-2217,-1494,2673.410743,5.00E+03,7.56E-07
27220,4999.512909,-2.96E-02,-2224,-1517,2692.111625,5.00E+03,2.27E-06
27410,5002.566874,-5.41E-03,-2231,-1537,2709.193607,5.00E+03,1.23E-05
27600,5004.057248,6.74E-03,-2239,-1557,2727.154194,5.00E+03,-9.80E-06
27790,5001.49074,1.20E-02,-2248,-1577,2745.984887,5.00E+03,-5.48E-06
27980,4988.627371,-6.70E-02,-2258,-1597,2765.677675,4.99E+03,9.75E-07
28170,4988.302569,-9.58E-02,-2267,-1615,2783.435647,4.99E+03,6.78E-07
28360,5002.495269,-4.66E-03,-2270,-1634,2796.936896,5.00E+03,1.38E-05
28550,4997.91217,3.29E-02,-2277,-1655,2814.91634,5.00E+03,-1.94E-06
28740,5001.044578,-1.63E-02,-2283,-1674,2830.965383,5.00E+03,3.89E-06
28930,4999.689012,7.25E-02,-2286,-1694,2845.247265,5.00E+03,-8.69E-07
29120,5003.485682,-2.01E-02,-2297,-1712,2864.812908,5.00E+03,3.11E-06
29310,5009.024128,2.80E-02,-2301,-1732,2880.00434,5.01E+03,-2.22E-06
29500,5005.166827,2.01E-02,-2308,-1752,2897.648702,5.01E+03,-3.07E-06
29690,4992.077458,5.41E-02,-2318,-1777,2920.7624,4.99E+03,-1.14E-06
29880,5006.014643,0.102450881,-2321,-1794,2933.509332,5.01E+03,-5.95E-07
30070,4998.663044,-1.19E-02,-2327,-1813,2949.897964,5.00E+03,5.08E-06
30260,5028.125992,-0.31354532,-2322,-1822,2951.502668,5.03E+03,1.91E-07
30450,4999.232794,4.20E-02,-2338,-1853,2983.262141,5.00E+03,-1.42E-06
30640,4993.757211,-3.27E-02,-2348,-1873,3003.536749,4.99E+03,1.82E-06
30830,4995.342579,5.75E-03,-2351,-1894,3019.012587,5.00E+03,-1.03E-05
31020,5003.357738,-1.74E-02,-2355,-1912,3033.441775,5.00E+03,3.37E-06
31210,5004.843926,2.12E-02,-2357,-1934,3048.902261,5.00E+03,-2.75E-06
31400,4993.123183,7.54E-03,-2368,-1955,3070.74079,4.99E+03,-7.71E-06
31590,5001.454488,0.038052204,-2369,-1974,3083.640219,5.00E+03,-1.52E-06
31780,5001.235034,1.19E-02,-2374,-1994,3100.308372,5.00E+03,-4.83E-06
31970,5002.260153,-2.16E-03,-2380,-2014,3117.787036,5.00E+03,2.64E-05
32160,5002.425806,2.37E-02,-2385,-2036,3135.844543,5.00E+03,-2.39E-06
32350,5000,0,-2390,-2056,3152.655389,5.00E+03,#DIV/0!
32540,4994.517118,1.73E-02,-2395,-2077,3170.166242,4.99E+03,-3.24E-06
32730,5004.433707,-3.38E-03,-2395,-2096,3182.646854,5.00E+03,1.65E-05
