,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
46,18050.0,22160.839538864682,-15.517934883513439,-14.4,-218.0,218.4809055688416,
47,18225.0,22268.71710277348,-15.21434079121694,-11.6,-217.2,217.51934156550902,
48,18400.0,22716.128098362482,-15.00582145760934,-9.8,-213.4,213.6302051336726,
49,18575.0,22985.558775938698,-15.26719393402702,-10.2,-209.2,209.4581978892374,
50,18750.0,23031.34562718198,-16.2058391457673,-13.2,-208.0,208.4208551280858,
51,18925.0,22968.05484812344,-17.12646515168488,-17.0,-208.2,208.9067238820826,
52,19100.0,22795.153993696596,-17.40131172872998,-18.0,-210.0,210.77065356488902,
53,19275.0,22736.27698836096,-17.472626134928962,-17.6,-211.2,211.93243476590084,
54,19450.0,22553.234504733446,-17.349812189920577,-17.0,-212.8,213.4812721978188,
55,19625.0,22572.19262291272,-17.76061283282094,-17.8,-213.2,213.944660687252,
56,19800.0,22735.663143128557,-17.416603826756578,-16.0,-211.2,211.8052611369592,
57,19975.0,22532.54136882876,-17.9199597753856,-17.8,-213.0,213.74601667813317,
58,20150.0,22500.63873285894,-18.0421009303181,-17.8,-213.2,213.94442591418436,
59,20325.0,22548.94370679146,-18.307347060660863,-18.4,-213.0,213.80035945617118,
60,20500.0,22380.7203030198,-18.62795621525372,-19.8,-214.0,214.9196527540978,
61,20675.0,22122.565874749816,-19.26066224540036,-21.0,-217.0,218.0245733188346,
62,20850.0,22127.984894237325,-18.37726009762726,-18.0,-217.6,218.34429037473177,
63,21025.0,22371.357404175997,-18.3933484308598,-16.8,-215.6,216.2553969870678,
64,21200.0,22432.58664208324,-18.6992960847186,-17.0,-215.0,215.6779024836432,
65,21375.0,22483.39705998014,-18.679693517410502,-16.8,-213.6,214.2633741348654,
66,21550.0,22500.33492194222,-18.921032805155217,-17.2,-214.0,214.6938087134386,
67,21725.0,22207.54937412998,-19.14703641960918,-18.0,-216.6,217.3485806454684,
68,21900.0,22086.61387407246,-19.132628962779382,-17.4,-218.0,218.70143720561276,
69,22075.0,22203.35232966264,-18.9154849251355,-16.2,-216.8,217.40601732397175,
70,22250.0,22252.2296549338,-18.905145546588738,-15.2,-216.4,216.9367308317158,
71,22425.0,22394.692723294917,-19.489496107908657,-16.8,-214.8,215.45963342596502,
72,22600.0,22332.44264653972,-20.2332617894551,-19.4,-214.6,215.481073819508,
73,22775.0,22292.12143177176,-19.898693976761617,-18.0,-215.8,216.551388289641,
