,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
111,29425.0,17886.32897226926,-21.07934342977118,-5.8,-269.2,269.26418224910583,
112,29600.0,17811.507597392738,-21.24694792606168,-7.4,-270.0,270.1113806636342,
113,29775.0,17805.05897217148,-21.00752382664254,-4.8,-271.0,271.0435000929802,
114,29950.0,17824.277582178118,-21.04769780099262,-4.2,-271.0,271.03574692794734,
115,30125.0,17814.4735238024,-21.342930445535938,-4.4,-270.4,270.4377911670564,
116,30300.0,17771.700669978563,-21.523511006138502,-4.8,-270.6,270.6509965286974,
117,30475.0,17929.42998107122,-21.48117155346384,-4.4,-268.6,268.63652499128636,
118,30650.0,17773.12169233106,-21.771316792947157,-5.6,-270.4,270.464436443682,
119,30825.0,17851.596613306203,-22.014064779261822,-6.2,-269.4,269.4731490723284,
120,31000.0,17760.89436869892,-21.842278735485543,-5.2,-271.8,271.855458779721,
121,31175.0,17931.84486856134,-22.15393908301484,-4.8,-268.4,268.45008275443763,
122,31350.0,17741.60354830964,-22.248837855445544,-6.2,-271.2,271.2763052125066,
123,31525.0,17703.08896225212,-21.840165124636343,-3.6,-272.4,272.4358757297608,
124,31700.0,17726.609049686842,-22.4741658241552,-5.6,-271.8,271.8581470495622,
125,31875.0,17715.0760271023,-22.60984671637924,-5.4,-271.4,271.4556805428234,
126,32050.0,17695.363436980682,-22.663066066295322,-5.4,-271.8,271.8540729759794,
127,32225.0,17594.4128710316,-23.036756757126877,-6.8,-273.8,273.8854907192038,
128,32400.0,17550.47100087784,-22.853197863595337,-6.2,-274.4,274.47109622749656,
129,32575.0,17463.57711629932,-22.9442719390491,-4.6,-276.0,276.044598578767,
130,32750.0,17548.833857403082,-22.90444495546872,-3.6,-275.0,275.0247473218674,
133,33275.0,17336.67979856914,-23.35769332564976,-5.8,-276.8,276.86549062766323,
134,33450.0,17525.36364899086,-23.55358998269594,-5.0,-274.2,274.248408091325,
135,33625.0,17489.011638426142,-23.43785686982502,-3.6,-276.4,276.4252555131252,
139,34325.0,17641.09574391456,-23.730647832727577,-2.0,-272.2,272.2096146382242,
140,34500.0,17629.49080439826,-24.251855534297626,-4.6,-272.6,272.64075308310004,
141,34675.0,17555.95774965282,-24.326392225464698,-4.6,-273.6,273.6398459375444,
142,34850.0,17475.74864061226,-24.485713682726743,-4.6,-275.2,275.2396933087104,
144,35200.0,17441.487943553057,-24.67885140972032,-4.0,-275.8,275.8312035053386,
146,35550.0,17490.96662846606,-24.82585333476902,-4.4,-276.4,276.4440847968292,
147,35725.0,17339.2255647004,-24.6646226800529,-2.0,-278.0,278.00792391490074,
148,35900.0,17345.85400372434,-24.45730318515536,-1.4,-277.4,277.4046904623622,
149,36075.0,17443.961533843263,-24.85876696393278,-1.0,-275.0,275.02729597414134,
150,36250.0,17421.302671777456,-24.928466180563298,-2.0,-276.0,276.00798140857444,
151,36425.0,17427.62202074458,-25.240607056757238,-2.6,-276.0,276.01415401406473,
152,36600.0,17348.2683367764,-25.180229605743783,-2.2,-277.0,277.00902521353237,
153,36775.0,17280.988388643902,-25.492936369229362,-3.6,-277.8,277.8266506470902,
